Membership No  Date Joined  Active  
    31174      2019-12-11   no    
    57804      2015-10-19   no    
    99981      2016-3-22    no    
    35172      2015-7-25    no    
    99002      2019-4-3     no    
    69121      2018-10-13   no    
    25492      2015-8-24    no    
    78511      2016-8-10    no    
    80618      2018-10-9    no    
    58068      2016-12-11   no    
    72350      2019-11-14   no    
    38640      2016-1-19    no    
    89710      2017-9-6     no    
    55048      2017-10-19   no    
    11092      2018-10-14   no    
    24679      2019-7-5     no    
    72166      2017-10-7    no    
